Data;Fix;Top;Premium M.;Premium F.;Multiprev M.;Multiprev F.;Previdence;XP Prev;Access;Synta;Capit D. Inc;Capit D. Inc F.;Aquila6;Strategy;CW1;Inflation;Index;Alfa;Harpia;Emb;Portfolio;Multi;Volks Fusca;Fcopel;São Paulo;Reit ;Reit 90
22/07/2019;117%;111%;106%;96%;74%;65%;43%;-10%;19%;89%;41%;26%;483%;9%;497%;54%;47%;156%;134%;148%;1%;-9%;69%;649%;258%;2427%;2711%
23/07/2019;117%;111%;158%;148%;140%;131%;177%;235%;245%;179%;354%;335%;-71%;61%;18%;53%;47%;264%;218%;146%;1%;-9%;-421%;-96%;-567%;-1208%;-1592%
24/07/2019;193%;187%;238%;216%;170%;161%;163%;225%;157%;219%;119%;103%;93%;6%;161%;53%;47%;226%;220%;137%;1%;-9%;-35%;29%;-58%;-530%;-78%
25/07/2019;81%;75%;107%;98%;80%;71%;87%;91%;120%;116%;261%;243%;7%;-23%;-56%;54%;48%;-106%;-70%;144%;1%;-9%;-64%;-204%;-25%;-346%;-533%
26/07/2019;126%;120%;150%;135%;169%;160%;148%;246%;169%;124%;134%;118%;266%;-34%;384%;54%;48%;225%;190%;137%;1%;-9%;82%;343%;176%;1159%;1001%
29/07/2019;56%;50%;65%;62%;22%;14%;21%;-80%;348%;49%;263%;244%;392%;14%;1241%;57%;50%;93%;85%;144%;0%;-10%;96%;582%;442%;2666%;2959%
30/07/2019;65%;59%;31%;33%;45%;38%;44%;9%;3%;-41%;-188%;-198%;66%;59%;-131%;54%;48%;-44%;12%;144%;0%;-11%;-120%;107%;-25%;434%;619%
31/07/2019;66%;60%;41%;32%;131%;122%;140%;167%;153%;42%;402%;381%;268%;-3588%;199%;-1408%;-1373%;-95%;-67%;144%;-1056%;-1079%;-7680%;220%;-7486%;1659%;1296%
01/08/2019;31%;25%;-9%;-18%;-26%;-33%;-11%;-73%;-43%;-22%;-374%;-382%;23%;19%;203%;53%;47%;227%;231%;143%;0%;-11%;32%;486%;541%;668%;736%
02/08/2019;124%;118%;139%;129%;100%;91%;67%;115%;33%;127%;87%;70%;400%;42%;759%;61%;54%;200%;213%;157%;0%;-12%;54%;655%;-19311%;2358%;2399%
05/08/2019;104%;97%;227%;216%;96%;86%;118%;-76%;238%;224%;241%;223%;-306%;-15%;-674%;92%;84%;-506%;-382%;148%;0%;-11%;29%;-1212%;-376%;-2986%;-3374%
06/08/2019;311%;305%;362%;323%;260%;249%;131%;384%;294%;172%;360%;339%;88%;-15%;1117%;58%;52%;756%;650%;141%;-1%;-13%;56%;1105%;316%;1302%;1354%
07/08/2019;147%;141%;195%;172%;76%;66%;59%;347%;157%;116%;56%;40%;-83%;24%;527%;61%;54%;517%;563%;157%;0%;-12%;49%;268%;118%;-548%;-240%
08/08/2019;56%;49%;87%;81%;85%;76%;49%;133%;-48%;-63%;-577%;-587%;386%;10%;577%;55%;48%;216%;164%;84%;282%;270%;-2451%;698%;158%;1501%;668%
09/08/2019;132%;125%;168%;149%;175%;165%;159%;198%;204%;198%;173%;156%;41%;37%;-120%;60%;53%;123%;109%;153%;-282%;-297%;33%;-108%;-197%;-1029%;-392%
12/08/2019;30%;24%;1%;8%;-20%;-28%;19%;-167%;-37%;25%;-320%;-336%;-17%;10%;-476%;68%;61%;-234%;-195%;156%;1%;-11%;38%;-297%;-388%;-610%;-903%
13/08/2019;214%;207%;235%;206%;226%;215%;230%;100%;280%;280%;493%;475%;316%;-18%;276%;201%;190%;211%;205%;154%;0%;-12%;40%;370%;-2%;728%;1230%
14/08/2019;128%;122%;136%;122%;68%;59%;80%;206%;174%;136%;-63%;-80%;30%;9%;-247%;526%;505%;-357%;-53%;191%;0%;-12%;36%;-310%;-70%;-415%;-49%
15/08/2019;200%;193%;178%;158%;166%;156%;151%;29%;117%;312%;-13%;-29%;236%;9%;290%;59%;52%;543%;256%;159%;0%;-12%;39%;66%;79%;-480%;-583%
16/08/2019;226%;219%;164%;146%;171%;161%;136%;441%;102%;105%;-133%;-149%;150%;20%;530%;59%;52%;493%;288%;153%;0%;-12%;43%;512%;148%;745%;1086%
19/08/2019;13%;7%;155%;138%;177%;167%;203%;264%;218%;186%;-17%;-34%;210%;-85%;-106%;67%;59%;-67%;-54%;164%;1%;-11%;38%;-83%;-116%;745%;256%
20/08/2019;126%;119%;103%;94%;116%;107%;70%;269%;128%;84%;214%;197%;244%;-68%;306%;60%;-17585%;-247%;-32%;199%;0%;-12%;44%;209%;-27%;745%;45%
21/08/2019;162%;156%;175%;155%;203%;192%;172%;270%;108%;130%;264%;246%;134%;3%;570%;59%;53%;338%;296%;158%;0%;-12%;43%;317%;18%;745%;-126%
22/08/2019;146%;140%;122%;110%;98%;90%;122%;121%;169%;153%;225%;207%;324%;-8%;194%;59%;53%;79%;34%;158%;0%;-12%;32%;260%;164%;745%;2131%
23/08/2019;36%;29%;14%;18%;-63%;-70%;-34%;360%;12%;19%;-154%;-168%;-32%;-14%;-102%;59%;28%;-39%;-33%;124%;0%;-12%;35%;-61%;89%;745%;-89%
26/08/2019;5%;-2%;-34%;2%;6%;-2%;40%;100%;8%;68%;-148%;-163%;1%;-538%;-224%;66%;-6%;-490%;-394%;153%;-341%;-357%;34%;-342%;93%;745%;50%
27/08/2019;179%;172%;210%;184%;206%;196%;-18%;243%;40%;-314%;378%;358%;-251%;6%;-536%;58%;53%;-247%;-162%;153%;0%;-12%;28%;-472%;-106%;745%;-614%
28/08/2019;115%;108%;133%;119%;153%;143%;167%;113%;205%;137%;337%;318%;53%;11%;-618%;58%;53%;-532%;-409%;153%;341%;334%;37%;-523%;-124%;745%;146%
29/08/2019;105%;99%;125%;113%;88%;79%;73%;46%;101%;94%;148%;131%;223%;8%;107%;58%;53%;61%;80%;153%;0%;-12%;39%;263%;-192%;745%;721%
30/08/2019;123%;117%;126%;113%;111%;102%;62%;353%;24%;29%;10%;-6%;313%;16%;1004%;58%;53%;646%;552%;155%;0%;-12%;0%;0%;0%;745%;1733%
