Data;Fix;Top;Premium M.;Premium F.;Multiprev M.;Multiprev F.;Previdence;XP Prev;Access;Synta;Capit D. Inc;Capit D. Inc F.;Aquila6;Strategy;CW1;Inflation;Index;Alfa;Harpia;Emb;Portfolio;Multi;Volks Fusca;Fcopel;São Paulo;Reit ;Reit 90
14/02/2019;97%;91%;86%;79%;72%;64%;71%;#N/D;26%;51%;113%;175%;107%;-148%;609%;75%;72%;369%;352%;111%;5%;-5%;78%;297%;-216%;-115%;722%
15/02/2019;114%;108%;94%;87%;188%;178%;154%;#N/D;258%;131%;124%;178%;295%;-75%;-9%;-77%;-78%;529%;651%;215%;-886%;-908%;-186%;784%;-359%;1322%;1054%
18/02/2019;119%;114%;144%;130%;293%;280%;233%;#N/D;194%;123%;107%;-54%;323%;124%;-293%;90%;87%;-115%;-216%;174%;9%;-1%;77%;144%;38%;933%;1159%
19/02/2019;75%;68%;29%;28%;165%;155%;175%;#N/D;139%;1%;162%;138%;118%;132%;-32%;85%;79%;159%;174%;175%;5%;-6%;78%;200%;60%;2%;300%
20/02/2019;160%;154%;182%;164%;176%;166%;164%;#N/D;213%;204%;421%;342%;276%;-23%;374%;81%;262%;-157%;-150%;177%;5%;-5%;64%;-17%;59%;779%;702%
21/02/2019;212%;206%;223%;200%;293%;280%;214%;#N/D;321%;259%;591%;478%;146%;-389%;472%;60%;54%;182%;179%;178%;5%;-5%;88%;-179%;67%;-1781%;-1150%
22/02/2019;-33%;-39%;-41%;-33%;-9%;-15%;10%;#N/D;-135%;-89%;-178%;-132%;126%;624%;342%;60%;54%;183%;185%;177%;5%;-5%;81%;389%;66%;918%;541%
25/02/2019;129%;123%;148%;134%;74%;66%;68%;#N/D;74%;123%;-60%;-39%;77%;-440%;-578%;184%;176%;77%;72%;179%;178%;169%;81%;-101%;-543%;-650%;-302%
26/02/2019;92%;86%;182%;164%;91%;83%;79%;#N/D;97%;95%;101%;89%;168%;42%;-436%;60%;54%;225%;227%;194%;5%;-5%;82%;198%;-334%;664%;141%
27/02/2019;157%;151%;167%;150%;138%;128%;124%;#N/D;177%;166%;137%;118%;526%;765%;-36%;60%;54%;269%;263%;186%;6%;-5%;80%;839%;115%;2797%;1223%
28/02/2019;-306%;-312%;-670%;-652%;60%;52%;43%;#N/D;-317%;-1024%;127%;110%;267%;491%;388%;60%;54%;84%;79%;186%;6%;-5%;81%;340%;785%;1687%;1221%
01/03/2019;-78%;-84%;-245%;-254%;35%;28%;35%;#N/D;-128%;-394%;10%;17%;321%;335%;-33%;-112%;-116%;104%;137%;186%;-69%;-80%;88%;556%;218%;2189%;2111%
06/03/2019;-30%;-36%;-132%;-141%;97%;89%;88%;#N/D;-36%;-257%;117%;102%;257%;329%;-163%;104%;97%;84%;83%;185%;13%;2%;82%;273%;155%;1139%;1018%
07/03/2019;148%;142%;229%;219%;68%;60%;57%;#N/D;73%;165%;74%;68%;-72%;-24%;-266%;731%;715%;8%;-119%;186%;5%;-5%;82%;-23%;-251%;-334%;377%
08/03/2019;202%;196%;243%;233%;195%;184%;179%;#N/D;246%;248%;307%;252%;421%;270%;503%;62%;55%;344%;342%;186%;5%;-5%;80%;471%;268%;935%;227%
11/03/2019;206%;200%;318%;308%;125%;116%;125%;#N/D;175%;390%;-25%;-11%;132%;-181%;297%;75%;69%;497%;493%;283%;9%;-2%;80%;508%;-150%;-26%;-171%
12/03/2019;235%;229%;315%;305%;136%;126%;118%;#N/D;236%;364%;382%;312%;126%;222%;466%;83%;77%;186%;187%;418%;8%;-3%;80%;213%;230%;107%;90%
13/03/2019;147%;141%;191%;182%;69%;61%;59%;#N/D;1048%;221%;1627%;1299%;312%;358%;1436%;60%;54%;461%;454%;200%;6%;-5%;80%;848%;226%;1393%;617%
14/03/2019;43%;37%;-28%;-37%;112%;103%;101%;#N/D;57%;-119%;62%;58%;138%;141%;-508%;62%;55%;63%;70%;288%;6%;-5%;81%;112%;-232%;394%;482%
15/03/2019;229%;222%;345%;334%;159%;149%;158%;#N/D;260%;471%;242%;201%;263%;-106%;102%;-405%;-405%;192%;212%;257%;-889%;-910%;81%;345%;-495%;1404%;1027%
18/03/2019;609%;602%;1002%;917%;210%;198%;199%;#N/D;606%;1555%;273%;226%;245%;32%;869%;73%;65%;305%;320%;201%;10%;-1%;84%;534%;199%;-20%;62%
19/03/2019;-248%;-254%;-567%;-502%;-6%;-14%;-55%;#N/D;-348%;-976%;61%;57%;170%;221%;415%;62%;55%;231%;251%;187%;6%;-5%;79%;287%;754%;569%;5386%
20/03/2019;165%;159%;268%;250%;70%;62%;75%;#N/D;165%;332%;54%;52%;6%;-80%;441%;62%;56%;277%;254%;215%;6%;-5%;79%;190%;144%;-77%;-169%
21/03/2019;5%;-1%;-56%;-57%;50%;42%;53%;#N/D;-10%;-57%;246%;3085%;76%;184%;184%;62%;56%;-51%;-30%;200%;6%;-5%;76%;46%;280%;263%;-19%
22/03/2019;126%;120%;238%;225%;-63%;-70%;107%;#N/D;115%;276%;2917%;-549%;-64%;-376%;-600%;62%;56%;-708%;-700%;263%;6%;-5%;79%;-1010%;-265%;-1252%;-1172%
25/03/2019;147%;141%;145%;131%;79%;70%;69%;#N/D;113%;95%;98%;87%;122%;266%;263%;82%;76%;172%;175%;200%;10%;0%;73%;242%;215%;397%;182%
26/03/2019;243%;237%;342%;304%;208%;199%;182%;#N/D;339%;421%;176%;149%;442%;459%;-88%;62%;56%;-87%;-88%;200%;6%;-5%;62%;217%;1252%;1718%;1400%
27/03/2019;-48%;-54%;-76%;-62%;69%;61%;72%;#N/D;-48%;-158%;437%;356%;-117%;-278%;-702%;66%;59%;-530%;-548%;327%;6%;-4%;55%;-777%;-1329%;-1298%;-777%
28/03/2019;126%;120%;53%;50%;205%;196%;172%;#N/D;200%;3%;342%;281%;195%;-69%;404%;115%;108%;920%;934%;215%;6%;-5%;70%;796%;-106%;-264%;-58%
29/03/2019;78%;72%;55%;51%;121%;112%;121%;#N/D;171%;-8%;202%;169%;382%;416%;557%;53%;47%;157%;180%;215%;3%;-7%;583%;561%;422%;1576%;1564%
01/04/2019;121%;115%;18%;9%;53%;45%;35%;#N/D;9%;56%;-184%;-137%;65%;-408%;339%;-8%;-12%;367%;358%;215%;-54%;-65%;-15%;223%;-87%;-455%;-133%
02/04/2019;208%;203%;257%;241%;184%;175%;160%;#N/D;279%;338%;613%;497%;255%;237%;621%;67%;62%;176%;183%;215%;7%;-4%;73%;371%;394%;685%;393%
03/04/2019;128%;122%;139%;126%;91%;83%;81%;#N/D;105%;142%;165%;140%;179%;286%;79%;165%;158%;-82%;-77%;215%;6%;-4%;25%;102%;215%;789%;1021%
04/04/2019;113%;107%;199%;179%;47%;39%;51%;#N/D;54%;210%;-136%;-100%;50%;-53%;54%;67%;62%;252%;245%;215%;6%;-4%;116%;223%;-111%;-173%;-121%
